feature,weight
intercept,-0.005452652486280329
CRIM,-0.1175238020182288
ZN,0.09633664999135655
INDUS,0.052997498949183694
CHAS,0.08603073922797791
NOX,-0.1261939904422219
RM,0.35141526994348066
AGE,-0.006076179820132768
DIS,-0.29774322777371176
RAD,0.24780522438841424
TAX,-0.22416485321888016
PTRATIO,-0.1908247665784817
B,0.10678130932832974
LSTAT,-0.4483038419537446
