feature,shap_importance
ZONIER,0.005253751780635153
VALEUR_DES_BIENS,0.005086141592827293
EXPO,0.0023355610405009657
NB_PIECES,0.0013465833883676067
FORMULE,0.0
TYPE_RESIDENCE,0.0
TYPE_HABITATION,0.0
SITUATION_JURIDIQUE,0.0
NIVEAU_JURIDIQUE,0.0
OBJETS_DE_VALEUR,0.0
NBSIN_TYPE1_AN1,0.0
NBSIN_TYPE1_AN3,0.0
NBSIN_TYPE2_AN1,0.0
NBSIN_TYPE2_AN2,0.0
NBSIN_TYPE2_AN3,0.0
ANNEE,0.0
