name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,2468.117635537339,0.64
2_DecisionTree,Decision Tree,rmse,2474.659785703089,2.79
3_Linear,Linear,rmse,2593.038671367875,1.84
4_Default_Xgboost,Xgboost,rmse,2581.728105651199,4.98
5_Default_NeuralNetwork,Neural Network,rmse,2599.3712198482385,0.8
6_Default_RandomForest,Random Forest,rmse,2596.7630483156904,2.73
Ensemble,Ensemble,rmse,2455.6207928785925,0.17
