feature,mean_importance
TAX,-0.0019590391503886253
CRIM,-0.0006313588249564573
ZN,7.216449660063518e-17
CHAS,7.216449660063518e-17
RAD,7.216449660063518e-17
INDUS,0.00010813601869106293
B,0.0005118357506290472
PTRATIO,0.001658869102052224
AGE,0.004536633761842423
NOX,0.00468696080915183
DIS,0.027210749978969984
LSTAT,0.3658071110687828
RM,0.5072605430058651
